Region,Peak Demand (in %),% of time of year
Western Region,87.0,25.0
National,88.0,25.0
Eastern Region,79.0,25.0
North-Eastern Region,68.0,25.0
Northen Region,72.0,25.0
Southern Region,82.0,25.0
Western Region,87.0,25.0
National,88.0,25.0
Eastern Region,79.0,25.0
North-Eastern Region,68.0,25.0
Northen Region,72.0,25.0
Southern Region,81.0,25.0
Western Region,87.0,25.0
National,88.0,25.0
Eastern Region,79.0,25.0
North-Eastern Region,68.0,25.0
Northen Region,72.0,25.0
Southern Region,81.0,25.0
Western Region,87.0,25.0
National,88.0,25.0
Eastern Region,79.0,25.0
North-Eastern Region,68.0,25.0
Northen Region,72.0,25.0
Southern Region,81.0,25.0
Western Region,87.0,25.0
National,88.0,25.0
Eastern Region,79.0,25.0
North-Eastern Region,68.0,25.0
Northen Region,72.0,25.0
Southern Region,81.0,25.0
Western Region,87.0,25.0
National,88.0,25.0
Eastern Region,79.0,25.0
North-Eastern Region,68.0,25.0
Northen Region,72.0,25.0
Southern Region,81.0,25.0
Western Region,87.0,25.0
National,88.0,25.0
Eastern Region,79.0,25.0
North-Eastern Region,68.0,25.0
Northen Region,72.0,25.0
Southern Region,81.0,25.0
Western Region,87.0,25.0
National,88.0,25.0
Eastern Region,79.0,25.0
North-Eastern Region,68.0,25.0
Northen Region,72.0,25.0
Southern Region,81.0,25.0
Western Region,87.0,25.0
National,88.0,25.0
Eastern Region,79.0,25.0
North-Eastern Region,68.0,25.0
Northen Region,72.0,25.0
Southern Region,81.0,25.0
Western Region,87.0,25.0
National,88.0,25.0
Eastern Region,79.0,25.0
North-Eastern Region,68.0,25.0
Northen Region,72.0,25.0
Southern Region,81.0,25.0
Western Region,87.0,25.0
National,88.0,25.0
Eastern Region,79.0,25.0
North-Eastern Region,68.0,25.0
Northen Region,72.0,25.0
Southern Region,81.0,25.0
Western Region,87.0,25.0
National,88.0,25.0
Eastern Region,79.0,25.0
North-Eastern Region,68.0,25.0
Northen Region,72.0,25.0
Southern Region,81.0,25.0
Western Region,87.0,25.0
National,88.0,25.0
Eastern Region,79.0,25.0
North-Eastern Region,68.0,25.0
Northen Region,72.0,25.0
Southern Region,81.0,25.0
Western Region,87.0,25.0
National,88.0,25.0
Eastern Region,79.0,25.0
North-Eastern Region,68.0,25.0
Northen Region,72.0,25.0
Southern Region,81.0,25.0
Western Region,87.0,25.0
National,88.0,25.0
Eastern Region,79.0,25.0
North-Eastern Region,68.0,25.0
Northen Region,72.0,25.0
Southern Region,81.0,25.0
Western Region,87.0,25.0
National,88.0,25.0
Eastern Region,79.0,25.0
North-Eastern Region,68.0,25.0
Northen Region,72.0,25.0
Southern Region,81.0,25.0
Western Region,87.0,25.0
National,88.0,25.0
Eastern Region,79.0,25.0
North-Eastern Region,68.0,25.0
Northen Region,72.0,25.0
Southern Region,81.0,25.0
Western Region,87.0,25.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,72.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,72.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,72.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,72.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,72.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,72.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,72.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,72.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,72.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,72.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,72.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,72.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,72.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,72.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,72.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,72.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,72.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,71.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,71.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,71.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,71.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,79.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,71.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,78.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,71.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,78.0,26.0
North-Eastern Region,68.0,26.0
Northen Region,71.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,78.0,26.0
North-Eastern Region,67.0,26.0
Northen Region,71.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,78.0,26.0
North-Eastern Region,67.0,26.0
Northen Region,71.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,78.0,26.0
North-Eastern Region,67.0,26.0
Northen Region,71.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,78.0,26.0
North-Eastern Region,67.0,26.0
Northen Region,71.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,78.0,26.0
North-Eastern Region,67.0,26.0
Northen Region,71.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,78.0,26.0
North-Eastern Region,67.0,26.0
Northen Region,71.0,26.0
Southern Region,81.0,26.0
Western Region,87.0,26.0
National,88.0,26.0
Eastern Region,78.0,26.0
